INFO 2022-10-22 23:47:09,461 127.0.0.1 - - [22/Oct/2022 23:47:09] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:47:14,456  product details successfully fetched for 0th product
INFO 2022-10-22 23:47:14,563  product details successfully fetched for 1th product
INFO 2022-10-22 23:47:14,689  product details successfully fetched for 2th product
INFO 2022-10-22 23:47:14,805  product details successfully fetched for 3th product
INFO 2022-10-22 23:47:14,924  product details successfully fetched for 4th product
INFO 2022-10-22 23:47:15,040  product details successfully fetched for 5th product
INFO 2022-10-22 23:47:15,158  product details successfully fetched for 6th product
INFO 2022-10-22 23:47:15,274  product details successfully fetched for 7th product
INFO 2022-10-22 23:47:15,390  product details successfully fetched for 8th product
INFO 2022-10-22 23:47:15,506  product details successfully fetched for 9th product
INFO 2022-10-22 23:47:15,615  product details successfully fetched for 10th product
INFO 2022-10-22 23:47:15,725  product details successfully fetched for 11th product
INFO 2022-10-22 23:47:15,872  product details successfully fetched for 12th product
INFO 2022-10-22 23:47:15,984  product details successfully fetched for 13th product
INFO 2022-10-22 23:47:16,097  product details successfully fetched for 14th product
INFO 2022-10-22 23:47:16,282  product details successfully fetched for 15th product
INFO 2022-10-22 23:47:16,416  product details successfully fetched for 16th product
INFO 2022-10-22 23:47:16,521  product details successfully fetched for 17th product
INFO 2022-10-22 23:47:16,630  product details successfully fetched for 18th product
INFO 2022-10-22 23:47:16,744  product details successfully fetched for 19th product
INFO 2022-10-22 23:47:16,852  product details successfully fetched for 20th product
INFO 2022-10-22 23:47:16,958  product details successfully fetched for 21th product
INFO 2022-10-22 23:47:17,074  product details successfully fetched for 22th product
ERROR 2022-10-22 23:47:17,188 Percentage_off not present for 23th product
INFO 2022-10-22 23:47:17,188  product details successfully fetched for 23th product
ERROR 2022-10-22 23:47:17,275 1406 (22001): Data too long for column 'comment_urls' at row 1
INFO 2022-10-22 23:47:17,280 127.0.0.1 - - [22/Oct/2022 23:47:17] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:47:17,294 127.0.0.1 - - [22/Oct/2022 23:47:17] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 23:51:46,290 package: mysql.connector.plugins
INFO 2022-10-22 23:51:46,291 plugin_name: caching_sha2_password
INFO 2022-10-22 23:51:46,293 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-22 23:51:46,295 db connection successful
INFO 2022-10-22 23:51:46,305 127.0.0.1 - - [22/Oct/2022 23:51:46] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:51:50,617  product details successfully fetched for 0th product
INFO 2022-10-22 23:51:50,741  product details successfully fetched for 1th product
INFO 2022-10-22 23:51:50,863  product details successfully fetched for 2th product
INFO 2022-10-22 23:51:50,978  product details successfully fetched for 3th product
INFO 2022-10-22 23:51:51,086  product details successfully fetched for 4th product
INFO 2022-10-22 23:51:51,195  product details successfully fetched for 5th product
INFO 2022-10-22 23:51:51,299  product details successfully fetched for 6th product
INFO 2022-10-22 23:51:51,413  product details successfully fetched for 7th product
INFO 2022-10-22 23:51:51,523  product details successfully fetched for 8th product
INFO 2022-10-22 23:51:51,630  product details successfully fetched for 9th product
INFO 2022-10-22 23:51:51,740  product details successfully fetched for 10th product
INFO 2022-10-22 23:51:51,853  product details successfully fetched for 11th product
INFO 2022-10-22 23:51:51,957  product details successfully fetched for 12th product
INFO 2022-10-22 23:51:52,067  product details successfully fetched for 13th product
INFO 2022-10-22 23:51:52,177  product details successfully fetched for 14th product
INFO 2022-10-22 23:51:52,300  product details successfully fetched for 15th product
INFO 2022-10-22 23:51:52,435  product details successfully fetched for 16th product
INFO 2022-10-22 23:51:52,555  product details successfully fetched for 17th product
INFO 2022-10-22 23:51:52,662  product details successfully fetched for 18th product
